user_id,article_1,article_2,article_3,article_4,article_5
200000,237870,194619,194935,314048,195773
200001,64329,272143,199198,324823,166581
200002,300128,300923,61375,293301,298035
200003,337143,272143,156619,235230,158536
200004,235870,235616,336223,261612,156964
200005,69932,160974,156964,160417,158536
200006,199197,284547,235230,183176,206934
200007,289003,157478,97530,218028,66672
200008,235870,300082,156560,64409,336223
200009,199198,64329,198659,166581,324823
200010,158536,162655,160974,218337,64329
200011,272143,198659,182394,64329,166581
200012,123818,123290,124228,124352,199198
200013,272143,336245,235652,162655,166581
200014,156560,162765,272143,235230,158536
200015,336221,156964,300082,214631,199198
200016,20691,198659,64329,284583,166581
200017,162839,159279,65831,10145,208322
200018,234698,288440,235870,235616,338340
200019,121834,15226,16911,272143,198659
200020,233717,199197,293301,235870,95716
200021,199198,64329,198659,156560,166581
200022,235870,336221,64409,300082,284985
200023,358109,198275,214800,199716,156964
200024,336221,234267,156624,162655,277491
200025,166581,198659,324823,162655,293301
200026,286336,234051,189524,42356,42951
200027,59817,59888,59827,59848,50878
200028,182513,348111,275192,275190,341838
200029,124748,336221,96210,336220,124194
200030,123818,124352,123290,158536,199198
200031,156560,272218,301030,108856,97082
200032,156560,162765,272143,235230,158536
200033,272143,235870,119193,48403,123757
200034,197151,87179,156624,236444,157844
200035,236808,234698,161506,336221,237055
200036,293301,156560,234698,313431,160132
200037,284985,308502,337735,31520,199198
200038,236065,234391,236126,67021,336476
200039,149610,282046,224486,337278,206429
200040,67021,273054,336476,107039,236250
200041,336220,272143,235854,277492,129029
200042,211863,338340,199197,123909,235230
200043,159762,285719,233717,161439,156560
200044,168623,237524,301015,95972,285379
200045,156560,83752,84044,140635,284372
200046,353012,351820,353437,214341,353811
200047,272143,96210,31836,133160,175040
200048,182513,336476,348134,272143,284474
200049,272143,156619,235230,158536,160417
200050,235230,160417,289090,272143,233717
200051,199198,64329,198659,166581,324823
200052,156560,168623,293301,160417,234698
200053,272143,158536,64329,42873,162655
200054,272143,175040,166581,162655,198659
200055,32082,257291,64329,161506,289126
200056,284547,199198,64329,198659,324823
200057,96464,93027,138248,118668,95763
200058,64329,198659,161506,166581,156560
200059,336221,275192,278894,218028,235870
200060,156560,233717,59057,133160,293301
200061,336221,31836,235870,64409,133160
200062,202376,160974,208596,160417,158536
200063,199197,64329,156624,162655,199198
200064,199198,64329,198659,166581,324823
200065,14394,199197,236951,284547,199198
200066,336223,64329,272143,50878,59057
200067,235870,95716,156964,159762,64409
200068,124748,124350,124228,25325,96185
200069,336221,59057,289003,288320,119193
200070,182513,336476,348134,272143,284474
200071,234698,95716,235616,293114,132497
200072,59057,31836,303180,336223,31520
200073,124748,123290,124352,123818,168623
200074,166581,198659,324823,162655,233717
200075,123757,272143,124177,224658,162655
200076,336476,233917,161149,336221,300082
200077,311514,80055,272401,218289,156624
200078,199198,324823,64329,166581,162655
200079,331116,234051,202355,283009,336254
200080,256026,255747,255875,254491,255935
200081,208473,293668,42530,156560,5387
200082,156560,162765,272143,235230,158536
200083,235870,95716,245161,300082,158882
200084,235870,156560,156964,235230,277492
200085,336223,297906,133506,288260,59057
200086,199198,162655,158536,166581,156560
200087,234698,336223,300082,315105,336380
200088,156560,162765,272143,235230,158536
200089,199197,234698,284547,160417,331116
200090,64329,199197,198659,162655,233717
200091,64329,285648,160417,285342,284547
200092,123757,313932,312619,123289,312305
200093,235870,95716,289003,156964,315105
200094,198659,64329,166581,162655,175040
200095,209236,218028,186039,89507,202559
200096,124350,124748,124177,123909,156560
200097,235870,199198,166581,315105,324823
200098,270607,286161,277302,159071,50830
200099,289090,48403,288440,119193,234698
200100,336220,111043,336221,235616,234006
200101,41922,362001,363291,42823,41302
200102,156560,235230,284547,129029,272143
200103,224474,201888,201750,324509,106567
200104,64329,198659,166581,96210,288440
200105,336223,31836,303180,119193,141004
200106,218028,209236,20691,64329,162655
200107,71432,288320,133160,31836,30420
200108,199198,20691,166581,175040,336245
200109,300128,300473,298310,298035,298032
200110,338340,123826,293114,293062,272143
200111,336221,336223,199197,235230,235870
200112,156560,70428,156964,160417,158536
200113,300263,123909,214800,237524,299152
200114,123818,123290,124177,123289,124352
200115,156560,162765,272143,235230,158536
200116,156560,294125,160417,158536,301008
200117,235870,300082,199197,64409,95716
200118,64329,272143,298035,298032,299582
200119,156560,160417,235230,272143,284547
200120,168623,336221,235870,300082,123757
200121,289090,64329,336221,234698,198659
200122,31836,95716,123909,119193,160939
200123,313431,235230,156560,284547,187065
200124,156560,160417,162655,233688,166581
200125,123290,123818,124352,124177,124350
200126,331116,286161,156560,168623,202355
200127,160417,156619,156624,162655,272143
200128,288440,95716,336220,235870,199198
200129,160417,156619,272143,64329,162655
200130,158536,162655,156624,160974,218337
200131,272143,235230,313431,160132,158536
200132,199197,313431,156624,336254,70646
200133,313431,235230,156560,284547,187065
200134,336223,283009,234698,245161,270607
200135,20691,95716,64329,234698,124350
200136,160417,313920,236566,225010,283764
200137,271262,235870,20691,31836,233717
200138,156560,64329,199198,198659,158536
200139,206168,235230,70646,313431,284547
200140,235524,235616,160974,160417,158536
200141,156560,336245,199197,288440,234698
200142,106442,315088,64329,198659,199198
200143,160974,160417,158536,199198,272143
200144,64329,199198,124748,162655,158536
200145,160417,160974,233717,272143,289126
200146,283220,332041,232955,229265,331806
200147,234698,95716,336223,235870,156560
200148,160974,160417,158536,199198,272143
200149,321956,321069,320215,321037,321203
200150,234698,59057,31836,284985,271261
200151,199197,168623,129029,289126,48403
200152,324823,272143,298035,298032,299767
200153,331116,156560,202355,160417,158536
200154,336223,59057,234698,48403,303180
200155,237524,161602,123909,207994,197151
200156,156560,123757,214800,111210,276946
200157,276970,168623,237524,233717,235230
200158,202355,156560,289003,283009,199198
200159,159762,285719,233717,84273,289126
200160,202289,128260,336220,70591,208539
200161,206735,202381,42959,202635,225010
200162,163395,61913,62747,62748,62568
200163,64329,284547,156560,293114,199198
200164,324823,199198,64329,198659,166581
200165,166581,175040,198659,162655,324823
200166,124350,123909,124748,123826,336221
200167,64329,166581,162655,182394,199197
200168,158536,156560,199198,64329,160974
200169,123818,123290,336221,336245,124352
200170,272143,64329,336221,119193,162655
200171,237870,293301,214800,168623,124228
200172,156624,156619,272143,199197,158536
200173,324823,272143,298035,298032,299767
200174,221711,353874,30576,331587,181965
200175,156560,162765,272143,235230,158536
200176,64329,198659,166581,162655,224658
200177,272143,198659,182394,64329,166581
200178,156560,64329,161801,199198,198659
200179,183176,96210,235854,20691,307779
200180,304487,303252,303967,304788,304391
200181,283123,234051,103210,357715,189524
200182,293301,59057,337192,277492,272143
200183,156560,161506,161801,162765,272143
200184,64329,162655,158536,156560,199198
200185,293331,4983,4772,4767,3918
200186,161801,87174,182513,235652,119534
200187,199197,156560,199198,64329,198659
200188,285343,278312,286161,284547,285342
200189,20691,96210,30374,332198,233742
200190,50864,50715,50383,68577,61582
200191,59057,124350,124748,336220,235870
200192,336221,235870,156560,156964,284547
200193,272143,199197,158536,160417,235230
200194,156560,162765,272143,235230,158536
200195,156624,156619,272143,199197,158536
200196,272143,198659,182394,64329,166581
200197,272143,31836,20691,48403,59057
200198,336254,64329,272143,218028,362914
200199,234051,189524,42356,42951,39750
200200,234698,257291,160132,58606,289126
200201,158536,64329,272143,162655,156624
200202,237524,276970,168623,95972,324823
200203,336223,272143,286321,64329,293513
200204,64329,336223,234698,234267,198659
200205,96210,156560,199198,336245,166581
200206,64329,300263,162655,156964,158536
200207,43080,314025,234698,73271,95716
200208,159354,289003,123909,96210,237524
200209,156560,36161,124350,272143,123289
200210,209236,210798,166265,167172,211484
200211,293050,199198,331737,64329,137697
200212,123826,124350,123289,124748,123909
200213,17889,236951,87188,85907,272143
200214,162655,156560,158536,30003,31751
200215,336380,129434,336221,272218,301030
200216,111210,301015,123909,276970,354086
200217,300128,300529,299369,298041,335173
200218,137645,136145,235616,277491,234698
200219,10082,8793,8901,9027,47960
200220,235230,286161,161602,156619,156560
200221,272143,175040,199198,166581,218337
200222,183176,160940,158906,354086,96755
200223,208237,62434,235230,225019,161801
200224,199198,64329,156560,162655,166581
200225,324823,272143,298035,298032,299767
200226,36855,36329,341075,107301,36349
200227,199197,272143,70646,156560,284547
200228,336220,235616,64329,300082,95716
200229,199197,29840,234698,336220,20691
200230,158536,160417,233717,162655,10082
200231,158536,162655,160974,218337,64329
200232,324823,272143,298035,298032,299767
200233,336220,20691,128260,31520,283009
200234,58580,225010,348111,313920,236566
200235,28900,87569,87576,20691,237580
200236,320891,321670,320992,156560,320694
200237,123290,124352,31836,48403,133160
200238,199198,166581,324823,198659,160132
200239,162655,158536,160974,168623,156560
200240,160417,162655,156624,156619,64329
200241,129596,129862,127852,127574,250604
200242,34305,272689,272804,270225,124350
200243,123818,123290,124228,124352,124748
200244,175040,199198,158536,162655,166581
200245,289003,313454,202652,202381,207603
200246,336221,336220,234269,234267,29953
200247,272143,198659,182394,64329,166581
200248,199198,64329,198659,166581,324823
200249,199198,64329,198659,166581,336476
200250,64329,324823,199198,84020,336220
200251,272143,158536,218337,199198,162655
200252,331116,283009,216191,123290,156560
200253,64329,272143,198659,166581,50644
200254,95716,156560,64329,235870,119193
200255,20691,336245,123757,123818,124350
200256,160974,199198,166581,158536,156560
200257,336221,123909,166581,119193,168623
200258,235854,235616,337192,158536,199198
200259,234698,95716,59057,31836,48403
200260,337873,58939,166958,337624,338093
200261,284547,234698,336221,84901,81975
200262,284547,285342,285648,285343,107205
200263,233717,166581,336245,288440,285719
200264,293301,214800,159762,58606,300263
200265,160417,158536,272143,300470,199198
200266,158536,272143,64329,160974,156619
200267,336254,156560,158536,214800,160417
200268,158536,162655,320607,64329,156560
200269,300486,68866,42392,220139,114089
200270,156560,162765,272143,235230,158536
200271,156560,64329,20691,214709,199198
200272,95716,336220,235870,235616,31836
200273,272143,64329,198659,156560,182394
200274,160974,160417,158536,199198,272143
200275,198659,64329,166581,234698,162655
200276,123757,208539,123290,156560,202355
200277,336245,288440,70999,327118,313242
200278,257291,234698,289126,285719,206763
200279,156560,64329,293050,199198,313431
200280,83733,88571,158536,156560,141004
200281,336221,20691,235870,160974,336245
200282,31836,324621,48403,323762,119193
200283,156560,336476,348111,162765,272143
200284,199197,64329,272143,286161,198659
200285,293301,336254,234698,199197,160158
200286,123289,124748,124194,64329,95716
200287,50863,159762,233717,289126,62575
200288,156560,160974,300470,162765,272143
200289,199198,336223,324823,288320,166581
200290,336254,161801,159938,96210,355860
200291,36161,2303,36129,199198,272143
200292,199197,235230,313431,234698,59057
200293,64329,156560,199198,198659,158536
200294,156560,160417,158536,272143,160974
200295,64329,124748,162655,234698,123289
200296,160974,160417,156560,182513,199197
200297,48972,283123,283592,156560,160473
200298,123818,123290,124352,235870,124177
200299,123289,123757,123290,124749,124352
200300,272143,199198,224658,182394,166581
200301,124352,123290,124748,123818,123757
200302,234698,336221,234267,235854,300082
200303,233717,111556,235870,336220,300082
200304,277491,157078,198659,235854,64329
200305,293114,199198,64329,156560,199197
200306,313242,199198,64329,198659,156560
200307,199197,50494,235230,272143,156624
200308,182513,336476,348134,272143,284474
200309,199198,202636,64329,198659,166581
200310,156560,162765,272143,235230,158536
200311,64329,198659,199198,175040,156560
200312,48972,283592,205052,160473,285648
200313,64329,272143,331116,198659,166581
200314,158536,162655,160974,218337,64329
200315,235870,336221,300082,293050,242596
200316,58580,336476,182513,313920,236566
200317,156560,336221,199198,235870,166581
200318,199198,64329,198659,166581,106821
200319,123757,124350,123290,156560,64329
200320,358109,293301,159762,337192,57699
200321,272143,198659,182394,64329,166581
200322,235230,199197,206168,156560,157078
200323,235870,95716,336254,156964,123826
200324,158536,162655,160974,218337,64329
200325,166585,166583,164013,112455,166228
200326,166581,198659,324823,162655,270607
200327,289090,64329,198659,166581,235854
200328,199198,166581,175040,286321,324823
200329,199198,64329,198659,156560,166581
200330,324823,199198,64329,198659,166581
200331,236951,158536,277491,234267,162655
200332,235616,336476,234698,199197,236338
200333,156625,288548,233717,271677,123909
200334,59057,31836,336221,199197,162655
200335,96210,349831,349833,351876,156560
200336,25325,168623,161425,36161,276970
200337,156560,162765,272143,235230,158536
200338,181674,42185,184292,181914,182485
200339,236917,237142,244621,234698,8090
200340,70195,313434,118167,303514,354771
200341,113369,293301,156654,224013,327478
200342,272143,234698,123909,336221,96210
200343,234698,95716,336223,156560,64329
200344,124748,123289,124194,124228,123909
200345,50864,50715,50383,68577,61582
200346,160974,354086,336220,337192,284096
200347,48972,48337,48478,48226,48888
200348,336245,288440,59063,57757,59045
200349,336223,288440,119534,95716,235870
200350,64329,156560,162655,160974,289126
200351,289003,57966,157478,199198,64329
200352,234698,95716,237524,235854,235870
200353,158536,162655,64329,156624,272143
200354,313431,235230,286161,156560,129029
200355,283009,336221,320255,331116,300082
200356,96210,199198,20691,198659,159762
200357,96873,96481,96960,96029,95743
200358,289090,198659,64329,166581,277491
200359,20691,336223,162655,7751,123818
200360,156560,160417,293301,160974,272143
200361,336476,348111,237443,233917,232995
200362,95716,123757,235616,300082,156964
200363,64329,272143,199198,324823,166581
200364,156381,199198,64329,198659,166581
200365,123289,124748,123909,124350,124177
200366,156560,162765,272143,235230,158536
200367,245702,202355,48403,299131,119193
200368,336221,285719,336223,208582,237822
200369,123818,124352,96210,123757,124350
200370,234698,284547,95716,235870,336223
200371,272143,156619,235230,158536,160417
200372,158536,64329,199198,160974,156624
200373,313454,156624,162655,156619,272143
200374,156560,199197,206934,202493,206168
200375,336221,235616,57173,64329,162655
200376,277302,289417,159762,277079,289433
200377,199198,64329,198659,166581,324823
200378,106200,202087,201775,156560,201784
200379,289090,111043,234269,293513,183176
200380,293301,336220,156654,284985,289126
200381,129825,159762,172576,129389,197151
200382,336476,348111,237443,233917,232995
200383,64329,198659,166581,20691,162655
200384,235870,95716,293301,156964,336223
200385,123290,124352,123909,123289,124748
200386,272143,156560,158536,160417,175040
200387,293301,156560,157078,285719,276946
200388,158536,156560,293114,64329,123826
200389,118986,272143,88702,198659,182394
200390,15949,14868,14030,16132,16035
200391,156560,50864,50715,162765,272143
200392,15226,187067,272143,175040,166581
200393,20691,319892,336245,183176,233688
200394,336221,272143,156964,300082,199198
200395,336220,288320,336223,234267,133160
200396,336221,95716,59057,48403,336476
200397,156624,199197,158536,162655,272143
200398,288320,123289,303180,123757,95977
200399,166585,166583,164013,112455,166228
200400,321612,284136,328066,353682,320859
200401,156560,160417,162655,160974,272143
200402,64329,199198,198659,324823,175040
200403,39782,234698,336221,336223,283123
